district_name,state,flood_risk_level,flood_risk_score,corrected_percent_flooded_area,percent_flooded_area,permanent_water_percent,total_flood_events,total_flood_duration_days,avg_flood_duration_days,max_flood_duration_days,total_human_fatalities,avg_human_fatalities_per_event,max_human_fatalities_single_event,total_human_injured,total_human_displaced,total_animal_fatalities,monsoon_flood_events,heavy_rain_flood_events,recent_flood_events_2010_2023,has_historical_flood_record,has_detailed_rainfall_data,actual_rainfall_sw_monsoon_mm,normal_rainfall_sw_monsoon_mm,sw_monsoon_departure_percent,actual_rainfall_ne_monsoon_mm,normal_rainfall_ne_monsoon_mm,ne_monsoon_departure_percent,actual_rainfall_winter_mm,normal_rainfall_winter_mm,actual_rainfall_hot_weather_mm,normal_rainfall_hot_weather_mm,total_actual_rainfall_mm,total_normal_rainfall_mm,annual_rainfall_departure_percent,monsoon_intensity_ratio
Alipurduar,Unknown,Low,6.84,4.039321623,4.056971682,0.017650059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Alirajpur,Madhya Pradesh,Moderate,32.69,0.133752635,0.872416618,0.738663983,14.0,73.0,5.214285714285714,14.0,170.0,12.142857142857142,90.0,0.0,0.0,2004.0,13.0,9.0,4.0,1,0,,,,,,,,,,,,,,
Almora,Uttarakhand,High,38.7,0.648573243,0.649027255,0.000454012,20.0,102.0,5.1,31.0,864.0,43.2,382.0,17.0,6.0,736.0,17.0,15.0,5.0,1,0,,,,,,,,,,,,,,
Alwar,Rajasthan,High,44.83,0.342475289,0.348076896,0.005601607,38.0,530.0,13.947368421052632,365.0,623.0,16.394736842105264,90.0,53.0,0.0,890.0,37.0,28.0,5.0,1,0,,,,,,,,,,,,,,
Ambala,Haryana,High,45.9,4.251029067,4.251029067,0.0,33.0,166.0,5.03030303030303,30.0,206.0,6.242424242424242,64.0,31.0,0.0,567.0,31.0,24.0,2.0,1,0,,,,,,,,,,,,,,
Ambedkar Nagar,Uttar Pradesh,High,52.85,3.462697948,3.80490503,0.342207082,32.0,692.0,21.625,365.0,3308.0,103.375,1025.0,0.0,0.0,3950.0,28.0,18.0,10.0,1,0,,,,,,,,,,,,,,
Amethi,Uttar Pradesh,High,52.03,2.870234132,2.870234132,0.0,33.0,698.0,21.151515151515152,365.0,3365.0,101.96969696969697,1025.0,54.0,0.0,4032.0,28.0,20.0,12.0,1,0,,,,,,,,,,,,,,
Amravati,Maharashtra,High,49.43,0.680336027,1.132570579,0.452234552,80.0,361.0,4.5125,31.0,1715.0,21.4375,500.0,139.0,1.0,7913.0,72.0,66.0,28.0,1,0,,,,,,,,,,,,,,
Amreli,Gujarat,High,47.49,0.09592198,0.551647653,0.455725673,39.0,712.0,18.256410256410255,122.0,2292.0,58.76923076923077,594.0,95.0,2.0,134730.0,37.0,26.0,17.0,1,0,,,,,,,,,,,,,,
Amritsar,Punjab,High,49.38,2.558209055,2.592469047,0.034259992,49.0,328.0,6.6938775510204085,38.0,1085.0,22.142857142857142,320.0,33.0,0.0,7117.0,42.0,33.0,10.0,1,0,,,,,,,,,,,,,,
Amroha,Uttar Pradesh,High,53.08,3.74795481,3.77465624,0.02670143,29.0,704.0,24.275862068965516,365.0,3605.0,124.3103448275862,1025.0,22.0,0.0,3940.0,28.0,14.0,5.0,1,0,,,,,,,,,,,,,,
Anand,Gujarat,High,49.46,5.403718781,5.640448142,0.236729361,16.0,350.0,21.875,122.0,1111.0,69.4375,288.0,36.0,0.0,17656.0,15.0,9.0,6.0,1,0,,,,,,,,,,,,,,
Anantapur,Andhra Pradesh,High,39.84,0.482623643,0.698641838,0.216018195,18.0,169.0,9.38888888888889,31.0,1200.0,66.66666666666667,338.0,4.0,1.0,65586.0,18.0,11.0,4.0,1,0,,,,,,,,,,,,,,
Anantnag,Jammu and Kashmir,High,42.1,0.30280149,0.462302357,0.159500867,36.0,146.0,4.055555555555555,22.0,1123.0,31.194444444444443,350.0,107.0,40.0,13685.0,28.0,24.0,14.0,1,0,,,,,,,,,,,,,,
Anjaw,Arunachal Pradesh,High,38.35,1.347748917,1.599292296,0.251543379,21.0,96.0,4.571428571428571,17.0,334.0,15.904761904761905,268.0,31.0,3.0,16.0,14.0,15.0,8.0,1,0,,,,,,,,,,,,,,
Anugul,Odisha,High,45.36,0.272277764,1.964959616,1.692681852,25.0,688.0,27.52,365.0,1847.0,73.88,1025.0,0.0,0.0,56011.0,21.0,7.0,6.0,1,0,,,,,,,,,,,,,,
Anuppur,Madhya Pradesh,Moderate,32.33,0.52747384,0.69532992,0.16785608,10.0,89.0,8.9,14.0,158.0,15.8,90.0,0.0,0.0,2000.0,10.0,5.0,2.0,1,0,,,,,,,,,,,,,,
Araria,Bihar,Very High,60.75,6.399493143,6.399493143,0.0,43.0,986.0,22.930232558139537,365.0,4951.0,115.13953488372093,1025.0,0.0,0.0,755.0,40.0,16.0,10.0,1,0,,,,,,,,,,,,,,
Aravalli,Gujarat,High,41.24,0.683258715,1.017301706,0.334042991,15.0,360.0,24.0,122.0,1099.0,73.26666666666667,288.0,36.0,0.0,17656.0,14.0,8.0,6.0,1,0,,,,,,,,,,,,,,
Ariyalur,Tamil Nadu,High,39.54,2.363517119,2.450977499,0.08746038,14.0,96.0,6.857142857142857,16.0,697.0,49.785714285714285,177.0,156.0,0.0,4018.0,14.0,11.0,6.0,1,1,549.4,392.0,40.15,491.7,545.5,-9.86,25.8,32.5,52.2,101.8,1119.1,1071.8,4.41,0.9303
Arwal,Bihar,Very High,84.92,21.67630991,22.2718737,0.595563792,33.0,902.0,27.333333333333332,365.0,4169.0,126.33333333333333,1025.0,0.0,0.0,755.0,31.0,10.0,4.0,1,0,,,,,,,,,,,,,,
Ashoknagar,Madhya Pradesh,Moderate,32.95,0.219773318,1.106305566,0.886532248,13.0,80.0,6.153846153846154,14.0,191.0,14.692307692307692,90.0,10.0,0.0,2000.0,13.0,7.0,5.0,1,0,,,,,,,,,,,,,,
Auraiya,Uttar Pradesh,High,57.99,6.662660657,6.808487542,0.145826885,29.0,698.0,24.06896551724138,365.0,3592.0,123.86206896551724,1025.0,15.0,0.0,3961.0,25.0,15.0,7.0,1,0,,,,,,,,,,,,,,
Aurangabad,Maharashtra,High,56.34,1.281443928,1.7501334069999999,0.48206176500000003,91.0,1171.0,12.868131868131869,365.0,6316.0,69.4065934065934,1025.0,168.0,0.0,27710.0,81.0,55.0,24.0,1,0,,,,,,,,,,,,,,
Azamgarh,Uttar Pradesh,Very High,61.59,6.011964431,6.067454778,0.055490347,52.0,1045.0,20.096153846153847,365.0,6631.0,127.51923076923077,1313.0,52.0,0.0,10599.0,48.0,21.0,11.0,1,0,,,,,,,,,,,,,,
Badgam,Unknown,Low,6.45,3.806150556,3.988476641,0.182326085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Bagalkote,Karnataka,High,41.59,0.002398667,1.462562203,1.460163536,23.0,293.0,12.73913043478261,31.0,1227.0,53.34782608695652,308.0,53.0,0.0,9189.0,16.0,18.0,9.0,1,0,,,,,,,,,,,,,,
Bageshwar,Uttarakhand,Moderate,30.06,0.570769802,0.57268385,0.001914048,12.0,22.0,1.8333333333333333,7.0,215.0,17.916666666666668,90.0,28.0,5.0,25.0,11.0,10.0,4.0,1,0,,,,,,,,,,,,,,
Baghpat,Uttar Pradesh,High,54.02,4.30209073,4.30209073,0.0,28.0,736.0,26.285714285714285,365.0,3678.0,131.35714285714286,1025.0,0.0,0.0,6941.0,27.0,13.0,5.0,1,0,,,,,,,,,,,,,,
Bahraich,Uttar Pradesh,High,59.19,3.679886741,4.089125081,0.40923834,72.0,1065.0,14.791666666666666,365.0,6723.0,93.375,1313.0,100.0,0.0,11268.0,67.0,35.0,20.0,1,0,,,,,,,,,,,,,,
Baksa,Assam,High,59.2,3.732064694,3.829965692,0.097900998,139.0,797.0,5.733812949640288,93.0,1704.0,12.258992805755396,268.0,49.0,4.0,7875618.0,124.0,114.0,120.0,1,0,,,,,,,,,,,,,,
Balaghat,Madhya Pradesh,High,39.69,1.072556027,1.159502036,0.086946009,25.0,139.0,5.56,14.0,347.0,13.88,103.0,108.0,0.0,2000.0,25.0,15.0,3.0,1,0,,,,,,,,,,,,,,
Balangir,Odisha,High,45.43,1.095326967,1.245116533,0.149789566,20.0,648.0,32.4,365.0,1654.0,82.7,1025.0,1.0,0.0,22756.0,16.0,4.0,4.0,1,0,,,,,,,,,,,,,,
Baleshwar,Odisha,Very High,64.41,8.765273065,12.64357177,3.878298705,53.0,828.0,15.622641509433961,365.0,3027.0,57.113207547169814,1025.0,9.0,0.0,55488.0,49.0,20.0,7.0,1,0,,,,,,,,,,,,,,
Ballari,Karnataka,High,48.29,0.548620386,1.132672375,0.584051989,58.0,478.0,8.241379310344827,31.0,1517.0,26.155172413793103,308.0,152.0,0.0,11866.0,42.0,49.0,26.0,1,0,,,,,,,,,,,,,,
Ballia,Uttar Pradesh,Very High,75.41,13.30007152,14.2259764,0.925904877,65.0,1127.0,17.338461538461537,365.0,7788.0,119.81538461538462,1313.0,78.0,0.0,11164.0,63.0,23.0,15.0,1,0,,,,,,,,,,,,,,
Balod,Chhattisgarh,Low,6.9,0.024923064,0.692282824,0.717205888,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,,,,,,,,,,,,,,
Baloda Bazar,Chhattisgarh,Low,11.69,3.300403562,3.669338228,0.368934666,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,,,,,,,,,,,,,,
Balrampur,Uttar Pradesh,High,52.03,2.5087812475,2.5498756809999996,0.0410944335,37.0,726.0,19.62162162162162,365.0,3352.0,90.5945945945946,1025.0,69.0,0.0,4042.0,33.0,21.0,13.0,1,0,,,,,,,,,,,,,,
Bametara,Unknown,Low,4.04,2.384020554,2.704068243,0.320047689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Banas Kantha,Gujarat,High,43.93,0.567783602,0.684661264,0.116877662,23.0,413.0,17.956521739130434,122.0,1630.0,70.8695652173913,288.0,39.0,2.0,24656.0,22.0,10.0,6.0,1,0,,,,,,,,,,,,,,
Banda,Uttar Pradesh,High,58.17,6.313682456,6.835722082,0.522039626,34.0,731.0,21.5,365.0,3468.0,102.0,1025.0,44.0,0.0,3958.0,32.0,14.0,6.0,1,0,,,,,,,,,,,,,,
Bandipore,Jammu and Kashmir,High,40.87,1.936451826,2.552861234,0.616409408,18.0,119.0,6.611111111111111,22.0,885.0,49.166666666666664,350.0,9.0,0.0,11185.0,14.0,8.0,4.0,1,0,,,,,,,,,,,,,,
Bangalore,Karnataka,High,44.91,0.114566985,0.342520348,0.227953363,53.0,311.0,5.867924528301887,31.0,783.0,14.773584905660377,198.0,98.0,0.0,11103.0,40.0,49.0,21.0,1,0,,,,,,,,,,,,,,
Banka,Bihar,High,51.45,1.685961495,2.03422427,0.348262775,35.0,925.0,26.428571428571427,365.0,4314.0,123.25714285714285,1025.0,0.0,0.0,4471.0,34.0,11.0,3.0,1,0,,,,,,,,,,,,,,
Bankura,West Bengal,High,47.55,1.401768891,1.837666654,0.435897763,21.0,732.0,34.857142857142854,365.0,3130.0,149.04761904761904,1258.0,26.0,0.0,590.0,19.0,4.0,2.0,1,0,,,,,,,,,,,,,,
Banswara,Rajasthan,High,43.15,0.016887325,0.908342871,0.925230196,28.0,481.0,17.178571428571427,365.0,834.0,29.785714285714285,440.0,48.0,0.0,75300.0,26.0,22.0,7.0,1,0,,,,,,,,,,,,,,
Bara Banki,Uttar Pradesh,High,57.19,2.865516793,3.016814521,0.151297728,71.0,936.0,13.183098591549296,365.0,5908.0,83.21126760563381,1313.0,51.0,0.0,10933.0,62.0,42.0,29.0,1,0,,,,,,,,,,,,,,
Baramula,Jammu and Kashmir,High,42.42,0.911142533,1.128824654,0.217682121,31.0,144.0,4.645161290322581,22.0,1122.0,36.193548387096776,350.0,100.0,1.0,13752.0,22.0,19.0,11.0,1,0,,,,,,,,,,,,,,
Baran,Rajasthan,High,46.2,2.425109248,2.698445577,0.273336329,27.0,504.0,18.666666666666668,365.0,461.0,17.074074074074073,90.0,44.0,1.0,0.0,26.0,18.0,13.0,1,0,,,,,,,,,,,,,,
Bareilly,Uttar Pradesh,High,56.09,4.170101962,4.170101962,0.0,43.0,781.0,18.162790697674417,365.0,4204.0,97.76744186046511,1025.0,31.0,0.0,4857.0,41.0,23.0,11.0,1,0,,,,,,,,,,,,,,
Bargarh,Odisha,High,47.03,0.036098632,1.309118184,1.345216816,32.0,749.0,23.40625,365.0,2899.0,90.59375,1025.0,0.0,0.0,86958.0,28.0,8.0,7.0,1,0,,,,,,,,,,,,,,
Barmer,Rajasthan,High,44.02,0.873995809,0.88895207,0.014956261,24.0,491.0,20.458333333333332,365.0,858.0,35.75,440.0,18.0,0.0,80686.0,23.0,15.0,6.0,1,0,,,,,,,,,,,,,,
Barnala,Punjab,High,40.97,1.6671773,1.6671773,0.0,23.0,158.0,6.869565217391305,30.0,416.0,18.08695652173913,268.0,6.0,0.0,14.0,17.0,16.0,6.0,1,0,,,,,,,,,,,,,,
Barpeta,Assam,Very High,73.9,10.48787247,13.96647843,3.478605956,165.0,1521.0,9.218181818181819,93.0,2690.0,16.303030303030305,268.0,67.0,0.0,10697543.0,142.0,90.0,105.0,1,0,,,,,,,,,,,,,,
Barwani,Madhya Pradesh,Moderate,34.44,0.27606099,0.86377453,0.58771354,16.0,101.0,6.3125,14.0,179.0,11.1875,90.0,22.0,1.0,2003.0,15.0,9.0,4.0,1,0,,,,,,,,,,,,,,
Bastar,Chhattisgarh,Moderate,29.85,1.632703879,1.887109361,0.254405482,10.0,40.0,4.0,14.0,40.0,4.0,18.0,41.0,0.0,0.0,10.0,8.0,5.0,1,0,,,,,,,,,,,,,,
Basti,Uttar Pradesh,High,59.5,4.636039801,4.958766648,0.322726847,56.0,1046.0,18.678571428571427,365.0,6226.0,111.17857142857143,1313.0,29.0,0.0,10894.0,52.0,22.0,13.0,1,0,,,,,,,,,,,,,,
Bathinda,Punjab,High,49.69,4.064778009,4.083232034,0.018454025,42.0,289.0,6.880952380952381,38.0,526.0,12.523809523809524,268.0,24.0,0.0,673.0,33.0,33.0,9.0,1,0,,,,,,,,,,,,,,
Baudh,Unknown,Low,2.89,1.709315466,2.608651472,0.899336006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Begusarai,Bihar,Very High,86.0,20.79971936,21.87259266,1.072873296,50.0,1109.0,22.18,365.0,4588.0,91.76,1025.0,100.0,0.0,1066.0,46.0,17.0,10.0,1,0,,,,,,,,,,,,,,
Belagavi,Karnataka,High,48.95,0.716049892,1.274110942,0.55806105,65.0,460.0,7.076923076923077,31.0,1485.0,22.846153846153847,308.0,120.0,3.0,11656.0,52.0,58.0,32.0,1,0,,,,,,,,,,,,,,
Bengaluru Rural,Karnataka,High,48.0,0.120542304,0.192307509,0.071765205,87.0,377.0,4.333333333333333,31.0,957.0,11.0,198.0,295.0,0.0,10169.0,64.0,81.0,17.0,1,0,,,,,,,,,,,,,,
Betul,Madhya Pradesh,High,38.1,0.572982012,0.659609051,0.086627039,23.0,136.0,5.913043478260869,14.0,287.0,12.478260869565217,90.0,9.0,0.0,40150.0,22.0,14.0,9.0,1,0,,,,,,,,,,,,,,
Bhadohi,Uttar Pradesh,Very High,64.11,11.0100435,12.0892717,1.079228201,23.0,683.0,29.695652173913043,365.0,3273.0,142.30434782608697,1025.0,0.0,0.0,4032.0,21.0,10.0,2.0,1,0,,,,,,,,,,,,,,
Bhadradri Kothagudem,Telangana,Moderate,21.17,0.742354231,1.367448139,0.625093908,7.0,17.0,2.4285714285714284,8.0,4.0,0.5714285714285714,2.0,0.0,0.0,1.0,7.0,7.0,7.0,1,0,,,,,,,,,,,,,,
Bhadrak,Odisha,Very High,60.61,8.404168094,10.96625941,2.562091316,32.0,750.0,23.4375,365.0,2035.0,63.59375,1025.0,0.0,0.0,56198.0,29.0,8.0,8.0,1,0,,,,,,,,,,,,,,
Bhagalpur,Bihar,Very High,74.35,13.72985928,16.20260487,2.47274559,54.0,1099.0,20.35185185185185,365.0,4597.0,85.12962962962963,1025.0,110.0,0.0,8471.0,51.0,21.0,10.0,1,0,,,,,,,,,,,,,,
Bhandara,Maharashtra,High,47.98,1.821346068,2.564278476,0.742932408,58.0,275.0,4.741379310344827,31.0,831.0,14.327586206896552,106.0,102.0,0.0,5000.0,49.0,47.0,14.0,1,0,,,,,,,,,,,,,,
Bharatpur,Rajasthan,High,44.12,2.338615588,2.342300583,0.003684995,30.0,154.0,5.133333333333334,30.0,717.0,23.9,205.0,1003.0,0.0,9699.0,29.0,19.0,3.0,1,0,,,,,,,,,,,,,,
Bharuch,Gujarat,High,51.47,1.820453727,3.432850261,1.612396534,50.0,715.0,14.3,122.0,2203.0,44.06,288.0,119.0,2.0,18676.0,48.0,26.0,14.0,1,0,,,,,,,,,,,,,,
Bhavnagar,Gujarat,High,46.55,0.019310059,1.164791431,1.145481372,39.0,560.0,14.35897435897436,120.0,2071.0,53.1025641025641,594.0,49.0,0.0,118186.0,38.0,23.0,14.0,1,0,,,,,,,,,,,,,,
Bhilwara,Rajasthan,High,44.37,0.74993015,0.795160097,0.045229947,25.0,506.0,20.24,365.0,1027.0,41.08,581.0,44.0,0.0,200130.0,24.0,15.0,5.0,1,0,,,,,,,,,,,,,,
Bhind,Madhya Pradesh,High,38.84,2.689401967,2.808721208,0.119319241,16.0,96.0,6.0,14.0,233.0,14.5625,90.0,0.0,0.0,2050.0,15.0,8.0,4.0,1,0,,,,,,,,,,,,,,
Bhiwani,Haryana,High,39.17,2.187233082,2.188213606,0.000980524,20.0,103.0,5.15,30.0,237.0,11.85,112.0,33.0,0.0,0.0,19.0,14.0,1.0,1,0,,,,,,,,,,,,,,
Bhojpur,Bihar,High,59.69,5.386832738,6.197224303,0.810391565,50.0,1053.0,21.06,365.0,4400.0,88.0,1025.0,0.0,0.0,851.0,47.0,16.0,10.0,1,0,,,,,,,,,,,,,,
Bhopal,Madhya Pradesh,High,41.37,0.000494438,0.626374883,0.626869321,44.0,158.0,3.590909090909091,14.0,510.0,11.590909090909092,158.0,29.0,0.0,41853.0,43.0,37.0,9.0,1,0,,,,,,,,,,,,,,
Bid,Maharashtra,High,46.82,0.274329152,0.847814579,0.573485427,60.0,216.0,3.6,14.0,2658.0,44.3,917.0,119.0,8.0,42202.0,56.0,48.0,28.0,1,0,,,,,,,,,,,,,,
Bidar,Karnataka,High,44.99,0.767478422,1.344650341,0.577171919,36.0,304.0,8.444444444444445,31.0,1241.0,34.47222222222222,308.0,60.0,0.0,9161.0,30.0,32.0,15.0,1,0,,,,,,,,,,,,,,
Bijapur,Karnataka,High,46.15,1.948257182,2.067319021,0.119061839,36.0,314.0,8.722222222222221,31.0,716.0,19.88888888888889,308.0,81.0,0.0,4027.0,27.0,34.0,16.0,1,0,,,,,,,,,,,,,,
Bijnor,Uttar Pradesh,High,52.96,3.487609777,3.55139876,0.063788983,31.0,735.0,23.70967741935484,365.0,3414.0,110.12903225806451,1025.0,0.0,0.0,4350.0,30.0,14.0,5.0,1,0,,,,,,,,,,,,,,
Bikaner,Rajasthan,High,44.92,0.684901436,0.693208661,0.008307225,36.0,511.0,14.194444444444445,365.0,569.0,15.805555555555555,90.0,106.0,0.0,6324.0,35.0,23.0,13.0,1,0,,,,,,,,,,,,,,
Bilaspur,Himachal Pradesh,High,47.83,1.469589187,3.7902931215000004,2.3207039345,62.0,313.0,5.048387096774194,99.0,740.0,11.935483870967742,151.0,26.0,0.0,18566.0,57.0,51.0,21.0,1,0,,,,,,,,,,,,,,
Birbhum,West Bengal,High,54.49,4.483276395,4.557102699,0.073826304,28.0,861.0,30.75,365.0,3172.0,113.28571428571429,1258.0,3.0,0.0,3637.0,26.0,9.0,3.0,1,0,,,,,,,,,,,,,,
Bishnupur,Manipur,Moderate,20.84,0.000998427,3.487839839,3.486841412,6.0,36.0,6.0,17.0,3.0,0.5,3.0,0.0,0.0,0.0,5.0,2.0,0.0,1,0,,,,,,,,,,,,,,
Biswanath,Assam,High,56.54,3.155673349,5.175865068,2.020191719,87.0,892.0,10.25287356321839,93.0,1859.0,21.367816091954023,268.0,49.0,0.0,10723745.0,69.0,64.0,69.0,1,0,,,,,,,,,,,,,,
Bokaro,Jharkhand,Moderate,22.33,0.022030296,1.369848729,1.347818433,6.0,12.0,2.0,6.0,49.0,8.166666666666666,15.0,5.0,0.0,14.0,5.0,6.0,2.0,1,0,,,,,,,,,,,,,,
Bongaigaon,Assam,Very High,65.87,8.287953017,11.75738514,3.469432123,89.0,1010.0,11.348314606741573,93.0,2104.0,23.640449438202246,268.0,49.0,0.0,9984014.0,78.0,48.0,53.0,1,0,,,,,,,,,,,,,,
Botad,Gujarat,High,44.33,0.877107887,0.962947549,0.085839662,26.0,434.0,16.692307692307693,120.0,1011.0,38.88461538461539,202.0,22.0,2.0,10386.0,25.0,17.0,11.0,1,0,,,,,,,,,,,,,,
Budaun,Uttar Pradesh,High,54.89,3.856538771,3.899941243,0.043402472,35.0,783.0,22.37142857142857,365.0,4872.0,139.2,1313.0,25.0,0.0,9646.0,33.0,17.0,10.0,1,0,,,,,,,,,,,,,,
Bulandshahr,Uttar Pradesh,High,56.05,4.603272439,4.647089954,0.043817515,33.0,808.0,24.484848484848484,365.0,5087.0,154.15151515151516,1313.0,23.0,0.0,12807.0,32.0,15.0,6.0,1,0,,,,,,,,,,,,,,
Buldana,Unknown,Low,0.24,0.143033374,0.570331597,0.427298223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Bundi,Rajasthan,High,47.94,1.991418255,2.12987866,0.138460405,30.0,507.0,16.9,365.0,1521.0,50.7,581.0,46.0,0.0,275300.0,29.0,20.0,10.0,1,0,,,,,,,,,,,,,,
Burhanpur,Madhya Pradesh,High,36.36,0.685540047,0.821960718,0.136420671,19.0,112.0,5.894736842105263,14.0,202.0,10.631578947368421,90.0,31.0,0.0,2075.0,19.0,13.0,8.0,1,0,,,,,,,,,,,,,,
Buxar,Bihar,High,57.74,5.289701443,5.8158623,0.526160857,37.0,923.0,24.945945945945947,365.0,4181.0,113.0,1025.0,0.0,0.0,755.0,34.0,13.0,6.0,1,0,,,,,,,,,,,,,,
Cachar,Assam,Very High,70.72,9.233600225,9.573358688,0.339758463,154.0,1223.0,7.941558441558442,93.0,2447.0,15.88961038961039,268.0,208.0,13.0,7093975.0,113.0,94.0,98.0,1,0,,,,,,,,,,,,,,
Central,Delhi,High,40.44,7.250541685,7.250541685,0.0,16.0,42.0,2.625,22.0,21.0,1.3125,3.0,48.0,0.0,25.0,15.0,15.0,1.0,1,0,,,,,,,,,,,,,,
Chamarajanagara,Karnataka,Low,9.46,1.93767925,2.083532915,0.145853665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,,,,,,,,,,,,,,
Chamba,Himachal Pradesh,High,46.69,0.208436762,0.400300346,0.191863584,74.0,334.0,4.513513513513513,99.0,751.0,10.14864864864865,151.0,40.0,0.0,18408.0,70.0,64.0,30.0,1,0,,,,,,,,,,,,,,
Chamoli,Uttarakhand,High,46.1,0.988526383,1.044647093,0.05612071,37.0,142.0,3.8378378378378377,31.0,5955.0,160.94594594594594,5000.0,123.0,215.0,1674.0,31.0,27.0,17.0,1,0,,,,,,,,,,,,,,
Champawat,Uttarakhand,Moderate,28.68,1.216386696,1.472908997,0.256522301,8.0,17.0,2.125,7.0,198.0,24.75,90.0,29.0,5.0,25.0,8.0,7.0,1.0,1,0,,,,,,,,,,,,,,
Champhai,Mizoram,Moderate,28.29,0.919185436,0.919185436,0.0,10.0,27.0,2.7,17.0,60.0,6.0,25.0,8.0,0.0,0.0,7.0,8.0,0.0,1,0,,,,,,,,,,,,,,
Chandauli,Uttar Pradesh,High,59.23,7.890839495,8.940225734,1.049386239,25.0,689.0,27.56,365.0,3283.0,131.32,1025.0,10.0,0.0,4032.0,22.0,12.0,4.0,1,0,,,,,,,,,,,,,,
