product_id,name,category,price,stock_quantity
165,Hiking Boots,Sports,95,30
166,Magnifying Glass,Stationery,6,40
167,External DVD Drive,Electronics,29,15
168,Walnuts (200g),Groceries,5.5,100
169,Storage Rack,Home & Kitchen,60,10
170,Polo Shirt,Apparel,28,85
171,Ski Goggles,Sports,55,20
172,Index Cards,Stationery,2.5,300
173,Uninterruptible Power Supply,Electronics,120,8
174,Mustard,Groceries,2.2,180
175,Ice Cube Tray,Home & Kitchen,4,150
176,Windbreaker,Apparel,50,40
177,Agility Ladder,Sports,22,30
178,Calculator Battery,Stationery,3,100
179,Wireless Doorbell,Electronics,25,50
180,Coconut Water,Groceries,2.5,140
181,Mop and Bucket,Home & Kitchen,28,35
182,Cardigan,Apparel,42,55
183,Snorkel Mask,Sports,30,45
184,Art Markers (12pk),Stationery,15,80
185,Soldering Iron,Electronics,20,30
186,Mayonnaise,Groceries,3.5,160
187,Wall Mirror,Home & Kitchen,40,15
188,Belt Bag,Apparel,25,90
189,Hand Grip Strengthener,Sports,8,120
190,Glue Stick (3pk),Stationery,2.5,250
191,Laptop Cooling Pad,Electronics,22,45
192,Soy Sauce,Groceries,2.99,130
193,Plant Pot,Home & Kitchen,12,80
194,Beanie,Apparel,12,110
195,Foam Roller,Sports,25,40
196,Label Maker,Stationery,35,20
197,Desktop Fan (USB),Electronics,15,60
198,Popcorn Kernels,Groceries,1.5,200
199,Curtain Rod,Home & Kitchen,25,30
200,Work Boots,Apparel,110,25
